0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
1.0000;1.0000;1.0000;-1.0000;-1.0000;1.0000;
1.0000;1.0000;0.0000;-1.0000;0.0000;1.0000;
1.0000;0.3333;-0.3333;-0.3333;0.3333;1.0000;
0.5000;0.0000;0.0000;0.0000;0.5000;1.0000;
0.2000;0.2000;0.2000;0.2000;0.6000;0.6000;
0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;
0.4286;0.4286;0.4286;0.1429;0.1429;0.4286;
0.5000;0.5000;0.2500;0.0000;0.2500;0.5000;
0.5556;0.3333;0.1111;0.1111;0.3333;0.5556;
0.4000;0.2000;0.2000;0.2000;0.4000;0.6000;
0.2727;0.2727;0.2727;0.2727;0.4545;0.4545;
0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;
0.3846;0.3846;0.3846;0.2308;0.2308;0.3846;
0.4286;0.4286;0.2857;0.1429;0.2857;0.4286;
0.4667;0.3333;0.2000;0.2000;0.3333;0.4667;
0.3750;0.2500;0.2500;0.2500;0.3750;0.5000;
0.2941;0.2941;0.2941;0.2941;0.4118;0.4118;
0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;
0.3684;0.3684;0.3684;0.2632;0.2632;0.3684;
0.4000;0.4000;0.3000;0.2000;0.3000;0.4000;
0.4286;0.3333;0.2381;0.2381;0.3333;0.4286;
0.3636;0.2727;0.2727;0.2727;0.3636;0.4545;
0.3043;0.3043;0.3043;0.3043;0.3913;0.3913;
0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;
0.3600;0.3600;0.3600;0.2800;0.2800;0.3600;
0.3846;0.3846;0.3077;0.2308;0.3077;0.3846;
0.4074;0.3333;0.2593;0.2593;0.3333;0.4074;
0.3571;0.2857;0.2857;0.2857;0.3571;0.4286;
0.3103;0.3103;0.3103;0.3103;0.3793;0.3793;
0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;
0.3548;0.3548;0.3548;0.2903;0.2903;0.3548;
0.3750;0.3750;0.3125;0.2500;0.3125;0.3750;
0.3939;0.3333;0.2727;0.2727;0.3333;0.3939;
0.3529;0.2941;0.2941;0.2941;0.3529;0.4118;
0.3143;0.3143;0.3143;0.3143;0.3714;0.3714;
0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;
0.3514;0.3514;0.3514;0.2973;0.2973;0.3514;
0.3684;0.3684;0.3158;0.2632;0.3158;0.3684;
0.3846;0.3333;0.2821;0.2821;0.3333;0.3846;
0.3500;0.3000;0.3000;0.3000;0.3500;0.4000;
0.3171;0.3171;0.3171;0.3171;0.3659;0.3659;
0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;
0.3488;0.3488;0.3488;0.3023;0.3023;0.3488;
0.3636;0.3636;0.3182;0.2727;0.3182;0.3636;
0.3778;0.3333;0.2889;0.2889;0.3333;0.3778;
0.3478;0.3043;0.3043;0.3043;0.3478;0.3913;
0.3191;0.3191;0.3191;0.3191;0.3617;0.3617;
0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;
0.3469;0.3469;0.3469;0.3061;0.3061;0.3469;
0.3600;0.3600;0.3200;0.2800;0.3200;0.3600;
0.3725;0.3333;0.2941;0.2941;0.3333;0.3725;
